order_id,date,product,category,region,sales,quantity,discount,profit,customer_age
1001,2024-01-03,Laptop Pro,Electronics,North,1299.99,1,0.05,389.99,34
1002,2024-01-05,Wireless Mouse,Electronics,South,29.99,3,0.00,8.99,28
1003,2024-01-07,Office Chair,Furniture,East,299.99,2,0.10,60.00,45
1004,2024-01-10,Notebook Set,Stationery,West,14.99,5,0.00,5.50,22
1005,2024-01-12,Standing Desk,Furniture,North,499.99,1,0.15,75.00,38
1006,2024-01-15,USB Hub,Electronics,South,39.99,2,0.00,12.00,31
1007,2024-01-18,Mechanical Keyboard,Electronics,East,129.99,1,0.05,35.00,27
1008,2024-01-20,Monitor 27inch,Electronics,West,349.99,1,0.08,85.00,42
1009,2024-01-22,Desk Lamp,Furniture,North,49.99,3,0.00,18.00,35
1010,2024-01-25,Webcam HD,Electronics,South,79.99,2,0.05,22.00,29
1011,2024-02-01,Laptop Pro,Electronics,East,1299.99,2,0.10,259.99,36
1012,2024-02-03,Ergonomic Chair,Furniture,West,399.99,1,0.05,89.99,48
1013,2024-02-05,Sticky Notes Pack,Stationery,North,9.99,10,0.00,4.00,25
1014,2024-02-08,Tablet 10inch,Electronics,South,499.99,1,0.08,110.00,33
1015,2024-02-10,Headphones Pro,Electronics,East,199.99,1,0.05,55.00,30
1016,2024-02-12,Bookshelf,Furniture,West,149.99,2,0.10,30.00,52
1017,2024-02-15,Pen Set,Stationery,North,12.99,8,0.00,5.00,24
1018,2024-02-18,Smartphone X,Electronics,South,899.99,1,0.05,199.99,28
1019,2024-02-20,Mouse Pad XL,Electronics,East,24.99,4,0.00,8.00,31
1020,2024-02-22,Filing Cabinet,Furniture,West,199.99,1,0.15,35.00,44
1021,2024-03-01,Laptop Pro,Electronics,North,1299.99,3,0.12,350.00,37
1022,2024-03-03,Bluetooth Speaker,Electronics,South,89.99,2,0.00,25.00,26
1023,2024-03-05,Office Desk,Furniture,East,549.99,1,0.10,100.00,40
1024,2024-03-08,Marker Set,Stationery,West,8.99,15,0.00,3.50,23
1025,2024-03-10,Smart Watch,Electronics,North,299.99,1,0.05,75.00,35
1026,2024-03-12,Laptop Stand,Electronics,South,49.99,3,0.00,15.00,29
1027,2024-03-15,Desk Organizer,Stationery,East,34.99,5,0.05,12.00,41
1028,2024-03-18,Gaming Chair,Furniture,West,599.99,1,0.10,120.00,25
1029,2024-03-20,4K Monitor,Electronics,North,699.99,1,0.05,150.00,38
1030,2024-03-22,Wireless Keyboard,Electronics,South,69.99,2,0.00,20.00,32
1031,2024-04-01,Laptop Pro,Electronics,East,1299.99,1,0.08,320.00,45
1032,2024-04-03,Desk Chair Basic,Furniture,West,179.99,2,0.10,30.00,36
1033,2024-04-05,Highlighters,Stationery,North,6.99,20,0.00,2.50,27
1034,2024-04-08,iPad Air,Electronics,South,749.99,1,0.05,165.00,31
1035,2024-04-10,Noise Cancelling Headphones,Electronics,East,349.99,1,0.08,90.00,34
1036,2024-04-12,Bookcase,Furniture,West,249.99,1,0.12,45.00,50
1037,2024-04-15,Ruler Set,Stationery,North,4.99,25,0.00,1.80,22
1038,2024-04-18,MacBook Air,Electronics,South,1099.99,1,0.05,250.00,29
1039,2024-04-20,Cable Management,Electronics,East,19.99,5,0.00,6.00,33
1040,2024-04-22,Corner Desk,Furniture,West,699.99,1,0.10,125.00,47
1041,2024-05-01,Laptop Pro,Electronics,North,1299.99,2,0.10,280.00,35
1042,2024-05-03,External SSD,Electronics,South,129.99,2,0.00,35.00,28
1043,2024-05-05,Sofa,Furniture,East,899.99,1,0.15,120.00,42
1044,2024-05-08,Whiteboard,Stationery,West,79.99,3,0.05,25.00,38
1045,2024-05-10,Smartwatch Pro,Electronics,North,449.99,1,0.05,100.00,31
1046,2024-05-12,USB-C Hub,Electronics,South,59.99,4,0.00,18.00,26
1047,2024-05-15,Meeting Table,Furniture,East,999.99,1,0.10,180.00,54
1048,2024-05-18,Notebook Hardcover,Stationery,West,24.99,6,0.00,9.00,30
1049,2024-05-20,GoPro Camera,Electronics,North,399.99,1,0.05,85.00,27
1050,2024-05-22,Printer Laser,Electronics,South,299.99,1,0.08,65.00,43
1051,2024-06-01,Laptop Pro,Electronics,East,1299.99,1,0.05,350.00,36
1052,2024-06-03,Standing Mat,Furniture,West,69.99,3,0.00,22.00,39
1053,2024-06-05,Stapler Set,Stationery,North,14.99,8,0.00,5.50,24
1054,2024-06-08,iPhone 15,Electronics,South,999.99,1,0.05,220.00,28
1055,2024-06-10,Portable Charger,Electronics,East,49.99,5,0.00,15.00,33
1056,2024-06-12,Lounge Chair,Furniture,West,449.99,1,0.10,80.00,46
1057,2024-06-15,Staple Remover,Stationery,North,2.99,30,0.00,1.00,25
1058,2024-06-18,Drone Mini,Electronics,South,299.99,1,0.05,70.00,29
1059,2024-06-20,Monitor Arm,Electronics,East,89.99,2,0.00,28.00,35
1060,2024-06-22,Wardrobe,Furniture,West,1199.99,1,0.10,200.00,51
1061,2024-07-01,Laptop Pro,Electronics,North,1299.99,3,0.15,300.00,34
